family,n,k,seed,algo,tour_len,offline_opt_lb,competitive_ratio,time_ms,status
A,20,0,15,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,15,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,389,OK
A,20,4,15,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,6,15,CR,,,,10000,TIMEOUT
A,20,6,15,CNN,9.485742707697995,6.2573786016092345,1.5159291632535243,1,OK
A,20,0,16,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,385,OK
A,20,0,16,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,16,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,384,OK
A,20,4,16,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,6,16,CR,9.336852837244374,6.2573786016092345,1.4921348749527763,389,OK
A,20,6,16,CNN,9.485742707697995,6.2573786016092345,1.5159291632535243,1,OK
A,20,0,17,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,398,OK
A,20,0,17,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,17,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,410,OK
A,20,4,17,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,6,17,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,405,OK
A,20,6,17,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,0,18,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,384,OK
A,20,0,18,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,18,CR,9.336852837244374,6.2573786016092345,1.4921348749527763,385,OK
A,20,4,18,CNN,9.485742707697995,6.2573786016092345,1.5159291632535243,1,OK
A,20,6,18,CR,8.020357304181784,6.2573786016092345,1.2817439721673798,385,OK
A,20,6,18,CNN,8.600815739368098,6.2573786016092345,1.3745078070162149,1,OK
A,20,0,19,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,391,OK
A,20,0,19,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,7,OK
A,20,4,19,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,378,OK
A,20,4,19,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,6,19,CR,8.526589867075785,6.2573786016092345,1.3626456716048743,387,OK
A,20,6,19,CNN,8.600815739368098,6.2573786016092345,1.3745078070162149,1,OK
A,20,0,20,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,398,OK
A,20,0,20,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,20,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,378,OK
A,20,4,20,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,6,20,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,385,OK
A,20,6,20,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,0,21,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,388,OK
A,20,0,21,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,21,CR,9.769821751538409,6.2573786016092345,1.5613282132274793,387,OK
A,20,4,21,CNN,15.735417437896206,6.2573786016092345,2.514697997313039,1,OK
A,20,6,21,CR,7.462820788346732,6.2573786016092345,1.1926433197485427,389,OK
A,20,6,21,CNN,7.4857427076979945,6.2573786016092345,1.196306502178541,1,OK
A,20,0,22,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,388,OK
A,20,0,22,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,22,CR,7.462820788346732,6.2573786016092345,1.1926433197485427,385,OK
A,20,4,22,CNN,7.4857427076979945,6.2573786016092345,1.196306502178541,1,OK
A,20,6,22,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,383,OK
A,20,6,22,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,0,23,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,388,OK
A,20,0,23,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,23,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,388,OK
A,20,4,23,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,6,23,CR,9.620931881084786,6.2573786016092345,1.537533924926731,385,OK
A,20,6,23,CNN,10.05390079537882,6.2573786016092345,1.6067272632014336,1,OK
A,20,0,24,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,390,OK
A,20,0,24,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,24,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,392,OK
A,20,4,24,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,6,24,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,387,OK
A,20,6,24,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,0,25,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,388,OK
A,20,0,25,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,25,CR,9.336852837244374,6.2573786016092345,1.4921348749527763,386,OK
A,20,4,25,CNN,9.485742707697995,6.2573786016092345,1.5159291632535243,1,OK
A,20,6,25,CR,8.526589867075785,6.2573786016092345,1.3626456716048743,388,OK
A,20,6,25,CNN,9.078101854944396,6.2573786016092345,1.450783536193534,1,OK
A,20,0,26,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,387,OK
A,20,0,26,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,26,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,381,OK
A,20,4,26,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,6,26,CR,9.620931881084786,6.2573786016092345,1.537533924926731,386,OK
A,20,6,26,CNN,10.05390079537882,6.2573786016092345,1.6067272632014336,1,OK
A,20,0,27,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,388,OK
A,20,0,27,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,27,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,379,OK
A,20,4,27,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,6,27,CR,10.424625631237193,6.2573786016092345,1.6659732924832535,383,OK
A,20,6,27,CNN,10.762117880127379,6.2573786016092345,1.7199083778244844,1,OK
A,20,0,28,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,379,OK
A,20,0,28,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,28,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,381,OK
A,20,4,28,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,6,28,CR,,,,10000,TIMEOUT
A,20,6,28,CNN,9.078101854944396,6.2573786016092345,1.450783536193534,1,OK
A,20,0,29,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,384,OK
A,20,0,29,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,4,29,CR,6.257378601609234,6.2573786016092345,0.9999999999999999,392,OK
A,20,4,29,CNN,6.257378601609234,6.2573786016092345,0.9999999999999999,1,OK
A,20,6,29,CR,8.969053351240735,6.2573786016092345,1.4333563497235293,386,OK
A,20,6,29,CNN,9.485742707697995,6.2573786016092345,1.5159291632535243,1,OK
A,40,0,0,CR,6.276727658227593,6.276727658227595,0.9999999999999996,401,OK
A,40,0,0,CNN,6.276727658227593,6.276727658227595,0.9999999999999996,3,OK
A,40,6,0,CR,10.112676681407242,6.276727658227595,1.6111383561705832,399,OK
